row_index,true_label,dbscan_label,ss_dbscan_label,important_point,importance_score
0,20,1,1,True,1
1,9,1,1,False,0
2,4,1,1,False,0
3,14,1,1,False,0
4,7,1,1,False,0
5,19,1,1,False,0
6,2,1,1,False,0
7,1,1,2,False,0
8,10,1,1,False,0
9,13,1,1,True,1
10,24,1,1,False,0
11,15,1,1,False,0
12,7,1,1,False,0
13,13,1,1,False,0
14,18,1,1,False,0
15,6,1,1,False,0
16,15,1,1,False,0
17,3,1,1,False,0
18,20,1,1,False,0
19,10,1,1,False,0
20,10,1,3,False,0
21,8,1,1,False,0
22,19,1,4,False,0
23,15,1,1,False,0
24,10,1,1,False,0
25,3,1,1,True,1
26,13,1,1,False,0
27,23,1,1,False,0
28,8,1,1,False,0
29,7,1,1,False,0
30,12,1,5,False,0
31,12,1,1,False,0
32,24,1,1,False,0
33,2,1,1,False,0
34,13,1,6,False,0
35,7,1,1,False,0
36,15,1,1,False,0
37,16,1,1,True,1
38,7,1,1,False,0
39,5,1,1,True,1
40,24,1,1,False,0
41,5,1,1,False,0
42,24,1,1,False,0
43,7,1,1,False,0
44,22,1,1,False,0
45,24,1,1,False,0
46,23,1,1,False,0
47,7,1,1,False,0
48,18,1,1,False,0
49,19,1,1,False,0
50,25,1,7,False,0
51,12,1,5,False,0
52,25,1,1,False,0
53,10,1,8,False,0
54,19,1,1,False,0
55,17,1,1,False,0
56,17,1,1,False,0
57,4,1,9,False,0
58,3,1,1,False,0
59,12,1,1,False,0
60,14,1,1,True,1
61,3,1,1,False,0
62,5,1,1,False,0
63,24,1,1,False,0
64,8,1,4,False,0
65,12,1,5,False,0
66,8,1,1,False,0
67,5,1,1,False,0
68,25,1,1,False,0
69,8,1,1,False,0
70,17,1,1,False,0
71,17,1,1,False,0
72,17,1,1,False,0
73,10,1,1,True,1
74,10,1,1,False,0
75,4,1,4,False,0
76,18,1,1,False,0
77,13,1,6,False,0
78,1,1,1,False,0
79,14,1,10,False,0
80,13,1,1,False,0
