dataset_id,dataset_name,row_index,true_label,true_label_display,dbscan_label,ss_dbscan_label,important_point,importance_score
letters,lettersPreProc.csv,0,20,20,1,1,True,1.000000
letters,lettersPreProc.csv,1,9,9,1,1,False,0.000000
letters,lettersPreProc.csv,2,4,4,1,1,False,0.000000
letters,lettersPreProc.csv,3,14,14,1,1,False,0.000000
letters,lettersPreProc.csv,4,7,7,1,1,False,0.000000
letters,lettersPreProc.csv,5,19,19,1,1,False,0.000000
letters,lettersPreProc.csv,6,2,2,1,1,False,0.000000
letters,lettersPreProc.csv,7,1,1,1,2,False,0.000000
letters,lettersPreProc.csv,8,10,10,1,1,False,0.000000
letters,lettersPreProc.csv,9,13,13,1,1,True,1.000000
letters,lettersPreProc.csv,10,24,24,1,1,False,0.000000
letters,lettersPreProc.csv,11,15,15,1,1,False,0.000000
letters,lettersPreProc.csv,12,7,7,1,1,False,0.000000
letters,lettersPreProc.csv,13,13,13,1,1,False,0.000000
letters,lettersPreProc.csv,14,18,18,1,1,False,0.000000
letters,lettersPreProc.csv,15,6,6,1,1,False,0.000000
letters,lettersPreProc.csv,16,15,15,1,1,False,0.000000
letters,lettersPreProc.csv,17,3,3,1,1,False,0.000000
letters,lettersPreProc.csv,18,20,20,1,1,False,0.000000
letters,lettersPreProc.csv,19,10,10,1,1,False,0.000000
letters,lettersPreProc.csv,20,10,10,1,3,False,0.000000
letters,lettersPreProc.csv,21,8,8,1,1,False,0.000000
letters,lettersPreProc.csv,22,19,19,1,4,False,0.000000
letters,lettersPreProc.csv,23,15,15,1,1,False,0.000000
letters,lettersPreProc.csv,24,10,10,1,1,False,0.000000
letters,lettersPreProc.csv,25,3,3,1,1,True,1.000000
letters,lettersPreProc.csv,26,13,13,1,1,False,0.000000
letters,lettersPreProc.csv,27,23,23,1,1,False,0.000000
letters,lettersPreProc.csv,28,8,8,1,1,False,0.000000
letters,lettersPreProc.csv,29,7,7,1,1,False,0.000000
letters,lettersPreProc.csv,30,12,12,1,5,False,0.000000
letters,lettersPreProc.csv,31,12,12,1,1,False,0.000000
letters,lettersPreProc.csv,32,24,24,1,1,False,0.000000
letters,lettersPreProc.csv,33,2,2,1,1,False,0.000000
letters,lettersPreProc.csv,34,13,13,1,6,False,0.000000
letters,lettersPreProc.csv,35,7,7,1,1,False,0.000000
letters,lettersPreProc.csv,36,15,15,1,1,False,0.000000
letters,lettersPreProc.csv,37,16,16,1,1,True,1.000000
letters,lettersPreProc.csv,38,7,7,1,1,False,0.000000
letters,lettersPreProc.csv,39,5,5,1,1,True,1.000000
letters,lettersPreProc.csv,40,24,24,1,1,False,0.000000
letters,lettersPreProc.csv,41,5,5,1,1,False,0.000000
letters,lettersPreProc.csv,42,24,24,1,1,False,0.000000
letters,lettersPreProc.csv,43,7,7,1,1,False,0.000000
letters,lettersPreProc.csv,44,22,22,1,1,False,0.000000
letters,lettersPreProc.csv,45,24,24,1,1,False,0.000000
letters,lettersPreProc.csv,46,23,23,1,1,False,0.000000
letters,lettersPreProc.csv,47,7,7,1,1,False,0.000000
letters,lettersPreProc.csv,48,18,18,1,1,False,0.000000
letters,lettersPreProc.csv,49,19,19,1,1,False,0.000000
letters,lettersPreProc.csv,50,25,25,1,7,False,0.000000
letters,lettersPreProc.csv,51,12,12,1,5,False,0.000000
letters,lettersPreProc.csv,52,25,25,1,1,False,0.000000
letters,lettersPreProc.csv,53,10,10,1,8,False,0.000000
letters,lettersPreProc.csv,54,19,19,1,1,False,0.000000
letters,lettersPreProc.csv,55,17,17,1,1,False,0.000000
letters,lettersPreProc.csv,56,17,17,1,1,False,0.000000
letters,lettersPreProc.csv,57,4,4,1,9,False,0.000000
letters,lettersPreProc.csv,58,3,3,1,1,False,0.000000
letters,lettersPreProc.csv,59,12,12,1,1,False,0.000000
letters,lettersPreProc.csv,60,14,14,1,1,True,1.000000
letters,lettersPreProc.csv,61,3,3,1,1,False,0.000000
letters,lettersPreProc.csv,62,5,5,1,1,False,0.000000
letters,lettersPreProc.csv,63,24,24,1,1,False,0.000000
letters,lettersPreProc.csv,64,8,8,1,4,False,0.000000
letters,lettersPreProc.csv,65,12,12,1,5,False,0.000000
letters,lettersPreProc.csv,66,8,8,1,1,False,0.000000
letters,lettersPreProc.csv,67,5,5,1,1,False,0.000000
letters,lettersPreProc.csv,68,25,25,1,1,False,0.000000
letters,lettersPreProc.csv,69,8,8,1,1,False,0.000000
letters,lettersPreProc.csv,70,17,17,1,1,False,0.000000
letters,lettersPreProc.csv,71,17,17,1,1,False,0.000000
